Designator,Mid X,Mid Y,Rotation,Layer
5V TO 3.3V1,70.474,-138.756,90.0,top
7.4V TO 5V1,200.974,-138.306,90.0,top
BT1,227.525,-125.4625,180.0,top
C1,158.0,-136.0,270.0,top
C2,162.5,-186.0,180.0,top
ESP32,115.15,-169.25,90.0,top
JOYSTICK1,108.54,-166.1,180.0,top
JOYSTICK2,188.0,-165.6,180.0,top
RADIO1,168.665,-114.925,270.0,top
SW1,142.25,-147.25,0.0,top
SW2,153.5,-147.25,0.0,top
SW3,130.25,-147.25,0.0,top
SW4,164.75,-147.25,0.0,top
SW5,187.25,-169.75,0.0,top
SW6,108.25,-169.75,0.0,top
